Question,Difficulty,Topic,Score
"Given a signed 32-bit integer `x`, return `x` with its digits reversed. If reversing `x` causes the value to go outside the signed 32-bit integer range `[-231, 231 - 1]`, then return `0`.  Assume the environment does not allow you to store 64-bit integers (signed or unsigned).   Example 1: Input: x = 123 Output: 321  Example 2: Input: x = -123 Output: -321  Example 3: Input: x = 120 Output: 21  Example 4: Input: x = 0 Output: 0  Constraints: `-231 <= x <= 231 - 1`",Easy,Arithmetic,True
"Given an integer `x`, return `True` if `x` is palindrome integer.  An integer is a palindrome when it reads the same backward as forward. For example, `121` is palindrome while `123` is not.   Example 1: Input: x = 121 Output: True  Example 2: Input: x = -121 Output: False Explanation: From left to right, it reads -121. From right to left, it becomes 121-. Therefore it is not a palindrome.   Example 3: Input: x = 10 Output: False Explanation: Reads 01 from right to left. Therefore it is not a palindrome.   ",Easy,Arithmetic,True
"Given an integer array `nums`, return the maximum difference between two successive elements in its sorted form. If the array contains less than two elements, return `0`.   Example 1: Input: nums = [3,6,9,1] Output: 3 Explanation: The sorted form of the array is [1,3,6,9], either (3,6) or (6,9) has the maximum difference 3.   Example 2: Input: nums = [10] Output: 0 Explanation: The array contains less than 2 elements, therefore return 0.   Constraints: `1 <= nums.length <= 104` `0 <= nums[i] <= 109` Follow ",Hard,Loops,True
"Given an integer `columnNumber`, return its corresponding column title as it appears in an Excel sheet.  For example: A -> 1 B -> 2 C -> 3 ...  Z -> 26 AA -> 27 AB -> 28  ...   Example 1: Input: columnNumber = 1 Output: ""A""  Example 2: Input: columnNumber = 28 Output: ""AB""  Example 3: Input: columnNumber = 701 Output: ""ZY""  Example 4: Input: columnNumber = 2147483647 Output: ""FXSHRXW""  Constraints: `1 <= columnNumber <= 231 - 1`",Easy,Arithmetic,True
"Given a string `columnTitle` that represents the column title as appear in an Excel sheet, return its corresponding column number.  For example: A -> 1 B -> 2 C -> 3 ...  Z -> 26 AA -> 27 AB -> 28  ...   Example 1: Input: columnTitle = ""A"" Output: 1  Example 2: Input: columnTitle = ""AB"" Output: 28  Example 3: Input: columnTitle = ""ZY"" Output: 701  Example 4: Input: columnTitle = ""FXSHRXW"" Output: 2147483647  Constraints: `1 <= columnTitle.length <= 7` `columnTitle` consists only of uppercase English letters",Easy,Arithmetic,True
"Given an integer `n`, return the number of trailing zeroes in `n!`.  Follow up: Could you write a solution that works in logarithmic time complexity?  Example 1: Input: n = 3 Output: 0 Explanation: 3! = 6, no trailing zero.   Example 2: Input: n = 5 Output: 1 Explanation: 5! = 120, one trailing zero.   Example 3: Input: n = 0 Output: 0  Constraints: `0 <= n <= 104`",Easy,Arithmetic,True
"Given a list of non-negative integers `nums`, arrange them such that they form the largest number.  Note: The result may be very large, so you need to return a string instead of an integer.   Example 1: Input: nums = [10,2] Output: ""210""  Example 2: Input: nums = [3,30,34,5,9] Output: ""9534330""  Example 3: Input: nums = [1] Output: ""1""  Example 4: Input: nums = [10] Output: ""10""  Constraints: `1 <= nums.length <= 100` `0 <= nums[i] <= 109`",Medium,Loops,False
"Given the coordinates of two rectilinear rectangles in a 2D plane, return the total area covered by the two rectangles.  The first rectangle is defined by its bottom-left corner `(A, B)` and its top-right corner `(C, D)`.  The second rectangle is defined by its bottom-left corner `(E, F)` and its top-right corner `(G, H)`.   Example 1: Input: A = -3, B = 0, C = 3, D = 4, E = 0, F = -1, G = 9, H = 2 Output: 45  Example 2: Input: A = -2, B = -2, C = 2, D = 2, E = -2, F = -2, G = 2, H = 2 Output: 16  Constrain",Medium,Arithmetic,False
"Given an integer `n`, count the total number of digit `1` appearing in all non-negative integers less than or equal to `n`.   Example 1: Input: n = 13 Output: 6  Example 2: Input: n = 0 Output: 0  Constraints: `0 <= n <= 2 * 109`",Hard,Arithmetic,False
"Given an array of meeting time `intervals` where `intervals[i] = [starti, endi]`, determine if a person could attend all meetings.   Example 1: Input: intervals = [[0,30],[5,10],[15,20]] Output: False  Example 2: Input: intervals = [[7,10],[2,4]] Output: True  Constraints: `0 <= intervals.length <= 104` `intervals[i].length == 2` `0 <= starti < endi <= 106`",Easy,Loops,False
